log_id,timestamp,session_id,source_ip,layer,action_type,maliciousness_score,entropy_value,threat_vector_contribution
9730cf2e,2026-04-09T17:19:13.388Z,0x92F5,192.168.1.49,SSH,BANNER_GRAB,63,3.65,6.30
f9ac4113,2026-04-09T17:20:25.388Z,0x524F,192.168.1.217,SSH,PRIV_ESC,77,2.44,7.70
82ef852c,2026-04-09T17:21:37.388Z,0xB58D,192.168.1.17,SQL,BLIND_SQLI,93,3.75,9.30
a9ff1766,2026-04-09T17:22:49.388Z,0x2BD2,192.168.1.39,SSH,BRUTE_FORCE,76,2.20,7.60
efb4bb50,2026-04-09T17:24:01.388Z,0xFD5D,192.168.1.189,HTTP,ENV_SCAN,85,3.98,8.50
e44c6465,2026-04-09T17:25:13.388Z,0xA969,192.168.1.163,SQL,USER_ENUMERATION,96,1.88,9.60
6cff67d4,2026-04-09T17:26:25.388Z,0xE8EF,192.168.1.121,SQL,TABLE_DROP,81,3.07,8.10
a1c76ee7,2026-04-09T17:27:37.388Z,0x2C02,192.168.1.99,HTTP,ENV_SCAN,63,1.60,6.30
9d598d0b,2026-04-09T17:28:49.388Z,0xABEA,192.168.1.80,HTTP,ADMIN_RECON,65,3.74,6.50
655b5a0f,2026-04-09T17:30:01.388Z,0x4171,192.168.1.171,SQL,TABLE_DROP,89,1.53,8.90
fe50857a,2026-04-09T17:31:13.388Z,0x7481,192.168.1.224,SQL,HONEYTOKEN_TRIGGER,64,4.45,6.40
9a522148,2026-04-09T17:32:25.388Z,0xD084,192.168.1.252,HTTP,ADMIN_RECON,69,4.37,6.90
ef830b6a,2026-04-09T17:33:37.388Z,0x9126,192.168.1.156,SQL,HONEYTOKEN_TRIGGER,86,1.72,8.60
478ce427,2026-04-09T17:34:49.388Z,0xF73F,192.168.1.126,SQL,USER_ENUMERATION,86,2.29,8.60
63bc324d,2026-04-09T17:36:01.388Z,0x4685,192.168.1.34,SQL,HONEYTOKEN_TRIGGER,62,3.55,6.20
bcbb84de,2026-04-09T17:37:13.388Z,0xB10A,192.168.1.64,SSH,PRIV_ESC,76,2.02,7.60
13b9eea0,2026-04-09T17:38:25.388Z,0xF094,192.168.1.243,SQL,USER_ENUMERATION,87,1.52,8.70
1c7f1a2c,2026-04-09T17:39:37.388Z,0xA6CE,192.168.1.192,SSH,BRUTE_FORCE,81,4.20,8.10
41950890,2026-04-09T17:40:49.388Z,0x4688,192.168.1.117,SSH,BANNER_GRAB,89,2.39,8.90
0793ac0a,2026-04-09T17:42:01.388Z,0xB112,192.168.1.63,SSH,BRUTE_FORCE,77,3.67,7.70
d9fe86d4,2026-04-09T17:43:13.388Z,0xD5EA,192.168.1.161,HTTP,SQL_INJECTION,62,3.37,6.20
16ced60f,2026-04-09T17:44:25.388Z,0xB3D7,192.168.1.183,HTTP,DIR_TRAVERSAL,82,2.72,8.20
841853c0,2026-04-09T17:45:37.388Z,0x8168,192.168.1.240,SQL,TABLE_DROP,75,1.84,7.50
fd80309d,2026-04-09T17:46:49.388Z,0x7399,192.168.1.194,SQL,HONEYTOKEN_TRIGGER,60,4.11,6.00
4b1caf12,2026-04-09T17:48:01.388Z,0x7F74,192.168.1.69,SQL,USER_ENUMERATION,75,2.62,7.50
9bb54686,2026-04-09T17:49:13.388Z,0x945F,192.168.1.30,SSH,BANNER_GRAB,96,2.61,9.60
c953ba0d,2026-04-09T17:50:25.388Z,0xA865,192.168.1.119,SQL,TABLE_DROP,90,1.65,9.00
09c7da39,2026-04-09T17:51:37.388Z,0xB6CF,192.168.1.81,SSH,PRIV_ESC,61,2.83,6.10
62097f6b,2026-04-09T17:52:49.388Z,0x89D2,192.168.1.43,HTTP,SQL_INJECTION,98,3.25,9.80
55c35103,2026-04-09T17:54:01.388Z,0x5DA2,192.168.1.72,HTTP,SQL_INJECTION,88,2.48,8.80
8d18f433,2026-04-09T17:55:13.388Z,0xD581,192.168.1.61,HTTP,ADMIN_RECON,79,3.89,7.90
b0c5ebe4,2026-04-09T17:56:25.388Z,0xFD59,192.168.1.2,HTTP,ENV_SCAN,90,3.45,9.00
37b012cf,2026-04-09T17:57:37.388Z,0x55D2,192.168.1.213,HTTP,ADMIN_RECON,62,2.15,6.20
cacd7157,2026-04-09T17:58:49.388Z,0x4DB4,192.168.1.253,SSH,PRIV_ESC,66,4.10,6.60
b9a0ebca,2026-04-09T18:00:01.388Z,0xF7DC,192.168.1.140,SSH,PRIV_ESC,97,2.71,9.70
0efda13f,2026-04-09T18:01:13.388Z,0x816F,192.168.1.29,HTTP,SQL_INJECTION,92,1.67,9.20
e458ff38,2026-04-09T18:02:25.388Z,0x643A,192.168.1.193,SSH,BRUTE_FORCE,62,3.06,6.20
9632089e,2026-04-09T18:03:37.388Z,0x81E,192.168.1.188,SSH,BANNER_GRAB,80,1.90,8.00
c04c58f3,2026-04-09T18:04:49.388Z,0x5EEF,192.168.1.230,SSH,ROOT_LOGIN_ATTEMPT,96,2.79,9.60
ca0874ac,2026-04-09T18:06:01.388Z,0x936B,192.168.1.23,SQL,VERSION_PROBE,86,2.62,8.60
5672e6f6,2026-04-09T18:07:13.388Z,0x6DEA,192.168.1.79,HTTP,XSS_PAYLOAD,70,2.18,7.00
689933f6,2026-04-09T18:08:25.388Z,0x23BD,192.168.1.240,HTTP,SQL_INJECTION,78,1.89,7.80
35b73f2a,2026-04-09T18:09:37.388Z,0xDA28,192.168.1.124,HTTP,ENV_SCAN,83,4.05,8.30
3f9eca58,2026-04-09T18:10:49.388Z,0x2771,192.168.1.108,HTTP,SQL_INJECTION,60,2.76,6.00
0b823173,2026-04-09T18:12:01.388Z,0xEE4D,192.168.1.246,SSH,ROOT_LOGIN_ATTEMPT,68,2.69,6.80
57fac5a7,2026-04-09T18:13:13.388Z,0xFD8A,192.168.1.86,HTTP,SQL_INJECTION,93,3.80,9.30
d9c030a7,2026-04-09T18:14:25.388Z,0xFB2F,192.168.1.196,SQL,USER_ENUMERATION,78,2.57,7.80
dfc244c1,2026-04-09T18:15:37.388Z,0x2EAC,192.168.1.236,SQL,TABLE_DROP,61,2.14,6.10
abd7ceb9,2026-04-09T18:16:49.388Z,0x82C5,192.168.1.101,SQL,BLIND_SQLI,76,2.35,7.60
6c8b05fd,2026-04-09T18:18:01.388Z,0x2263,192.168.1.155,HTTP,DIR_TRAVERSAL,74,3.12,7.40
ae4ec1b0,2026-04-09T18:19:13.388Z,0x1898,192.168.1.70,HTTP,XSS_PAYLOAD,67,3.00,6.70
4bb09993,2026-04-09T18:20:25.388Z,0x59C1,192.168.1.247,SSH,BANNER_GRAB,89,3.35,8.90
53ccef4d,2026-04-09T18:21:37.388Z,0x1F5D,192.168.1.220,SSH,ROOT_LOGIN_ATTEMPT,65,3.23,6.50
763c7ff4,2026-04-09T18:22:49.388Z,0xBE53,192.168.1.94,HTTP,DIR_TRAVERSAL,86,4.09,8.60
7c8d0191,2026-04-09T18:24:01.388Z,0x346A,192.168.1.165,SSH,ROOT_LOGIN_ATTEMPT,94,1.99,9.40
7239d5db,2026-04-09T18:25:13.388Z,0xEA00,192.168.1.155,SQL,VERSION_PROBE,82,2.67,8.20
cdb6a4e8,2026-04-09T18:26:25.388Z,0xC80A,192.168.1.123,SSH,SHELLCODE_INJECTION,76,2.67,7.60
2a7d5634,2026-04-09T18:27:37.388Z,0xB82F,192.168.1.183,SSH,SHELLCODE_INJECTION,96,2.53,9.60
9b6d8d36,2026-04-09T18:28:49.388Z,0x6999,192.168.1.248,HTTP,SQL_INJECTION,83,1.57,8.30
893d7fa3,2026-04-09T18:30:01.388Z,0x5C99,192.168.1.117,SSH,SHELLCODE_INJECTION,76,2.99,7.60
99153ac6,2026-04-09T18:31:13.388Z,0xC3F6,192.168.1.87,SQL,TABLE_DROP,99,2.58,9.90
4983fec2,2026-04-09T18:32:25.388Z,0xF076,192.168.1.120,SSH,ROOT_LOGIN_ATTEMPT,72,4.41,7.20
9cde49f1,2026-04-09T18:33:37.388Z,0x7AB1,192.168.1.47,SQL,VERSION_PROBE,82,4.04,8.20
58812904,2026-04-09T18:34:49.388Z,0x2780,192.168.1.110,SSH,SHELLCODE_INJECTION,67,3.49,6.70
82589c44,2026-04-09T18:36:01.388Z,0x37E5,192.168.1.93,HTTP,ADMIN_RECON,86,3.49,8.60
5faf813f,2026-04-09T18:37:13.388Z,0x37FE,192.168.1.4,SSH,SHELLCODE_INJECTION,64,3.99,6.40
47cf5eed,2026-04-09T18:38:25.388Z,0x8229,192.168.1.35,SSH,SHELLCODE_INJECTION,75,2.48,7.50
3f524e59,2026-04-09T18:39:37.388Z,0xA66D,192.168.1.166,SSH,BRUTE_FORCE,76,4.26,7.60
cb45b978,2026-04-09T18:40:49.388Z,0xDACF,192.168.1.191,SSH,BRUTE_FORCE,75,2.92,7.50
b19ba9ae,2026-04-09T18:42:01.388Z,0x5100,192.168.1.90,HTTP,ENV_SCAN,71,3.39,7.10
3d67a849,2026-04-09T18:43:13.388Z,0x3646,192.168.1.184,HTTP,DIR_TRAVERSAL,64,2.43,6.40
7f7f708f,2026-04-09T18:44:25.388Z,0x8B80,192.168.1.182,HTTP,XSS_PAYLOAD,78,2.28,7.80
1ec085ce,2026-04-09T18:45:37.388Z,0x86CA,192.168.1.35,SSH,PRIV_ESC,60,2.07,6.00
ed0223b5,2026-04-09T18:46:49.388Z,0xF0BC,192.168.1.191,SSH,ROOT_LOGIN_ATTEMPT,85,2.70,8.50
b0faa7d2,2026-04-09T18:48:01.388Z,0x31F1,192.168.1.56,SQL,HONEYTOKEN_TRIGGER,67,1.68,6.70
eebf28bf,2026-04-09T18:49:13.388Z,0xCDEF,192.168.1.221,SSH,BANNER_GRAB,60,4.34,6.00
8bdb61a0,2026-04-09T18:50:25.388Z,0xFEB3,192.168.1.74,SQL,BLIND_SQLI,83,4.16,8.30
2f228eed,2026-04-09T18:51:37.388Z,0x4689,192.168.1.38,SSH,BANNER_GRAB,82,1.58,8.20
e90cf7fd,2026-04-09T18:52:49.388Z,0x8D54,192.168.1.163,SSH,BRUTE_FORCE,86,1.61,8.60
fd954b99,2026-04-09T18:54:01.388Z,0x33DC,192.168.1.219,SSH,PRIV_ESC,70,4.35,7.00
bab34889,2026-04-09T18:55:13.388Z,0xE8B6,192.168.1.88,SSH,SHELLCODE_INJECTION,83,4.09,8.30
67edda91,2026-04-09T18:56:25.388Z,0x5943,192.168.1.99,SSH,ROOT_LOGIN_ATTEMPT,63,4.32,6.30
2f1f999f,2026-04-09T18:57:37.388Z,0x4ACB,192.168.1.220,HTTP,ENV_SCAN,66,3.42,6.60
d10c6deb,2026-04-09T18:58:49.388Z,0x2D20,192.168.1.242,SSH,ROOT_LOGIN_ATTEMPT,90,1.61,9.00
21de668d,2026-04-09T19:00:01.388Z,0xDC96,192.168.1.244,HTTP,DIR_TRAVERSAL,94,3.28,9.40
c59fb0b7,2026-04-09T19:01:13.388Z,0xAC16,192.168.1.206,SSH,BANNER_GRAB,69,4.12,6.90
1ef308d8,2026-04-09T19:02:25.388Z,0x8AFA,192.168.1.238,SQL,TABLE_DROP,93,1.60,9.30
539031dc,2026-04-09T19:03:37.388Z,0x9E30,192.168.1.238,SSH,BANNER_GRAB,98,1.90,9.80
58269cb7,2026-04-09T19:04:49.388Z,0x49CC,192.168.1.151,SQL,TABLE_DROP,88,3.67,8.80
7771f2b4,2026-04-09T19:06:01.388Z,0xEAE2,192.168.1.152,HTTP,ENV_SCAN,94,2.57,9.40
ae7a5d56,2026-04-09T19:07:13.388Z,0x2859,192.168.1.82,HTTP,ENV_SCAN,85,4.27,8.50
ff045ccb,2026-04-09T19:08:25.388Z,0x8E71,192.168.1.225,HTTP,XSS_PAYLOAD,72,2.57,7.20
d66eef4f,2026-04-09T19:09:37.388Z,0xCA4F,192.168.1.155,HTTP,SQL_INJECTION,95,2.30,9.50
bd2beaad,2026-04-09T19:10:49.388Z,0xEE87,192.168.1.3,HTTP,XSS_PAYLOAD,92,2.50,9.20
565c18d9,2026-04-09T19:12:01.388Z,0x61DC,192.168.1.19,HTTP,ADMIN_RECON,98,3.16,9.80
587f906c,2026-04-09T19:13:13.388Z,0x7A71,192.168.1.185,SSH,BANNER_GRAB,60,3.77,6.00
fe89fab6,2026-04-09T19:14:25.388Z,0x9689,192.168.1.159,HTTP,SQL_INJECTION,81,2.81,8.10
1a1d721d,2026-04-09T19:15:37.388Z,0xAE97,192.168.1.82,SQL,HONEYTOKEN_TRIGGER,91,3.27,9.10
e355533c,2026-04-09T19:16:49.388Z,0x5B60,192.168.1.190,SSH,BRUTE_FORCE,77,1.81,7.70
5e1c73bb,2026-04-09T19:18:01.388Z,0x64B5,192.168.1.14,HTTP,SQL_INJECTION,96,2.23,9.60
0784f844,2026-04-09T19:19:13.388Z,0x88C5,192.168.1.192,SQL,VERSION_PROBE,64,4.39,6.40
0a6ce862,2026-04-09T19:20:25.388Z,0x3268,192.168.1.11,HTTP,ENV_SCAN,91,3.83,9.10
c55a9dce,2026-04-09T19:21:37.388Z,0xD90,192.168.1.132,SQL,TABLE_DROP,89,3.57,8.90
e26c23a0,2026-04-09T19:22:49.388Z,0x283A,192.168.1.203,SQL,HONEYTOKEN_TRIGGER,74,4.46,7.40
259e3b50,2026-04-09T19:24:01.388Z,0x7329,192.168.1.233,HTTP,ADMIN_RECON,76,4.46,7.60
d79bdecd,2026-04-09T19:25:13.388Z,0xBB2B,192.168.1.21,SQL,HONEYTOKEN_TRIGGER,72,4.15,7.20
50add152,2026-04-09T19:26:25.388Z,0x5AD1,192.168.1.132,HTTP,DIR_TRAVERSAL,93,2.62,9.30
de1447a4,2026-04-09T19:27:37.388Z,0x7378,192.168.1.248,SSH,BRUTE_FORCE,92,3.95,9.20
8c724a46,2026-04-09T19:28:49.388Z,0x7D74,192.168.1.79,SSH,SHELLCODE_INJECTION,86,4.11,8.60
49389ce9,2026-04-09T19:30:01.388Z,0x2B6D,192.168.1.203,HTTP,DIR_TRAVERSAL,79,1.81,7.90
0873a781,2026-04-09T19:31:13.388Z,0xDE88,192.168.1.243,SQL,TABLE_DROP,66,2.70,6.60
a4a3f79d,2026-04-09T19:32:25.388Z,0xE12C,192.168.1.41,SQL,VERSION_PROBE,65,3.86,6.50
d5e0447f,2026-04-09T19:33:37.388Z,0x3491,192.168.1.27,SQL,TABLE_DROP,75,4.03,7.50
2e6ba75c,2026-04-09T19:34:49.388Z,0xBCC6,192.168.1.150,SSH,SHELLCODE_INJECTION,76,3.86,7.60
abe39420,2026-04-09T19:36:01.388Z,0x2FA8,192.168.1.206,SSH,ROOT_LOGIN_ATTEMPT,63,2.65,6.30
bb75de2f,2026-04-09T19:37:13.388Z,0xAE06,192.168.1.48,SSH,BRUTE_FORCE,98,2.94,9.80
7f5e81f2,2026-04-09T19:38:25.388Z,0xDD8B,192.168.1.50,SQL,HONEYTOKEN_TRIGGER,61,3.22,6.10
f818a244,2026-04-09T19:39:37.388Z,0x133A,192.168.1.161,SSH,ROOT_LOGIN_ATTEMPT,72,3.54,7.20
7e2ba7c1,2026-04-09T19:40:49.388Z,0x9649,192.168.1.171,SQL,USER_ENUMERATION,81,2.82,8.10
75080fef,2026-04-09T19:42:01.388Z,0x6702,192.168.1.33,SQL,HONEYTOKEN_TRIGGER,91,3.19,9.10
162a9236,2026-04-09T19:43:13.388Z,0xEAEF,192.168.1.4,SQL,BLIND_SQLI,74,2.04,7.40
671579d2,2026-04-09T19:44:25.388Z,0x3207,192.168.1.204,HTTP,DIR_TRAVERSAL,67,4.41,6.70
cbf9986d,2026-04-09T19:45:37.388Z,0xC7AF,192.168.1.39,SSH,BANNER_GRAB,92,2.77,9.20
73a75454,2026-04-09T19:46:49.388Z,0x5D38,192.168.1.250,HTTP,ENV_SCAN,76,2.30,7.60
d825f3ee,2026-04-09T19:48:01.388Z,0x322B,192.168.1.223,SQL,HONEYTOKEN_TRIGGER,69,3.53,6.90
9324a2db,2026-04-09T19:49:13.388Z,0x6E79,192.168.1.60,SSH,PRIV_ESC,91,2.25,9.10
48c4a809,2026-04-09T19:50:25.388Z,0x4515,192.168.1.223,SQL,HONEYTOKEN_TRIGGER,72,4.07,7.20
05e432a9,2026-04-09T19:51:37.388Z,0x2093,192.168.1.94,HTTP,XSS_PAYLOAD,60,1.95,6.00
896f9769,2026-04-09T19:52:49.388Z,0x7223,192.168.1.42,HTTP,SQL_INJECTION,65,3.23,6.50
4186d2a2,2026-04-09T19:54:01.388Z,0x6C0E,192.168.1.176,SQL,USER_ENUMERATION,87,3.39,8.70
c6ecf784,2026-04-09T19:55:13.388Z,0xF8A5,192.168.1.145,SSH,BANNER_GRAB,60,3.27,6.00
203ffd6a,2026-04-09T19:56:25.388Z,0x6633,192.168.1.234,HTTP,ADMIN_RECON,66,3.93,6.60
89eb6ad4,2026-04-09T19:57:37.388Z,0xFDDC,192.168.1.150,SSH,SHELLCODE_INJECTION,73,4.18,7.30
ea367894,2026-04-09T19:58:49.388Z,0x7EAD,192.168.1.135,SSH,BANNER_GRAB,86,2.16,8.60
8548cd33,2026-04-09T20:00:01.388Z,0xE052,192.168.1.102,SQL,USER_ENUMERATION,78,2.92,7.80
c47935c3,2026-04-09T20:01:13.388Z,0xB153,192.168.1.73,SSH,ROOT_LOGIN_ATTEMPT,67,2.52,6.70
